TICKER;FREE_FLOAT;W_FACTOR;ISSUE_SIZE;QO;CAP_TOTAL;WEIGHT;TRADEDATE;SECS;SECSNAME
SVAV;0.46;1.0000000;34270159;15764273;14256386144;0.08;17.11.2015;SVAV;СОЛЛЕРС
MTLR;0.35;1.0000000;416270745;145694761;25059498849;0.11;17.11.2015;MTLR;Мечел ао
RTKMP;0.6;1.0000000;242831469;145698881;15116258945;0.11;17.11.2015;RTKMP;Ростел -ап
RSTI;0.14;1.0000000;161078853310;22551039463;71744521264;0.12;17.11.2015;RSTI;Россети ао
TRMK;0.25;1.0000000;993586094;248396524;51020645927;0.15;17.11.2015;TRMK;ТМК ао
PHST;0.34;1.0000000;37792603;12849485;40135744386;0.16;17.11.2015;PHST;Фармстанд
VSMO;0.1;1.0000000;11529538;1152954;136625025300;0.16;17.11.2015;VSMO;ВСМПО-АВСМ
GCHE;0.36;1.0000000;43963773;15826958;41765584350;0.18;17.11.2015;GCHE;ЧеркизГ-ао
FEES;0.21;1.0000000;1274665323063;267679717843;78111490997;0.2;17.11.2015;FEES;ФСК ЕЭС ао
DIXY;0.46;1.0000000;124750000;57385000;38922000000;0.21;17.11.2015;DIXY;ДИКСИ ао
MVID;0.42;1.0000000;179768227;75502655;44061192438;0.22;17.11.2015;MVID;М.видео
AFLT;0.32;1.0000000;1110616299;355397216;60972834815;0.23;17.11.2015;AFLT;Аэрофлот
AKRN;0.16;1.0000000;40534000;6485440;122007340000;0.23;17.11.2015;AKRN;Акрон
LSRG;0.33;1.0000000;103030215;33999971;64445399482;0.26;17.11.2015;LSRG;ЛСР ао
LNTA;0.1;1.0000000;465466970;46546697;227147881360;0.27;17.11.2015;LNTA;Лента др
IRAO;0.18;1.0000000;104400000000;18792000000;129508200000;0.28;17.11.2015;IRAO;ИнтерРАОао
TATNP;1;1.0000000;147508500;147508500;28380635400;0.34;17.11.2015;TATNP;Татнфт 3ап
BANEP;0.63;1.0000000;29788012;18766448;48643823596;0.37;17.11.2015;BANEP;Башнефт ап
MAGN;0.14;1.0000000;11174330000;1564406200;232090834100;0.39;17.11.2015;MAGN;ММК
BANE;0.12;1.0000000;147846489;17741579;281351868567;0.41;17.11.2015;BANE;Башнефт ао
EONR;0.18;1.0000000;63048706145;11348767106;198414278238;0.43;17.11.2015;EONR;Э.ОНРоссия
RUAL;0.1;1.0000000;15193014862;1519301486;366151658174;0.44;17.11.2015;RUAL;RUSAL plc
PIKK;0.32;1.0000000;660497344;211359150;144648918336;0.56;17.11.2015;PIKK;ПИК ао
POLY;0.25;1.0000000;423031984;105757996;233302139176;0.7;17.11.2015;POLY;Polymetal
AFKS;0.36;1.0000000;9650000000;3474000000;164050000000;0.71;17.11.2015;AFKS;Система ао
NLMK;0.14;1.0000000;5993227240;839051814;425579066312;0.71;17.11.2015;NLMK;НЛМК ао
PGIL;0.1;1.0000000;3032149962;303214996;587630662636;0.71;17.11.2015;PGIL;PGIL-ао
PHOR;0.19;1.0000000;129500000;24605000;356125000000;0.81;17.11.2015;PHOR;ФосАгро ао
RTKM;0.28;1.0000000;2669204301;747377204;242897591391;0.82;17.11.2015;RTKM;Ростел -ао
SBERP;1;1.0000000;1000000000;1000000000;75000000000;0.9;17.11.2015;SBERP;Сбербанк-п
HYDR;0.34;1.0000000;386255464890;131326858063;223448786439;0.91;17.11.2015;HYDR;РусГидро
MFON;0.15;1.0000000;620000000;93000000;558620000000;1.01;17.11.2015;MFON;МегаФон ао
YNDX;0.3;1.0000000;275161148;82548344;291395655732;1.05;17.11.2015;YNDX;Yandex clA
ALRS;0.23;1.0000000;7364965630;1693942095;387397192138;1.07;17.11.2015;ALRS;АЛРОСА ао
MOEX;0.51;1.0000000;2278636493;1162104611;215103284939;1.32;17.11.2015;MOEX;МосБиржа
URKA;0.23;1.0000000;2936015891;675283655;486644633933;1.34;17.11.2015;URKA;Уркалий-ао
CHMF;0.21;1.0000000;837718660;175920919;591429373960;1.49;17.11.2015;CHMF;СевСт-ао
MTSS;0.45;1.0000000;2066413562;929886103;433636885986;2.34;17.11.2015;MTSS;МТС-ао
TRNFP;1;1.0000000;1554875;1554875;236030025000;2.83;17.11.2015;TRNFP;Транснф ап
TATN;0.32;1.0000000;2178690700;697181024;741190576140;2.85;17.11.2015;TATN;Татнфт 3ао
SNGSP;0.73;1.0000000;7701998235;5622458712;340967461863;2.99;17.11.2015;SNGSP;Сургнфгз-п
SNGS;0.25;1.0000000;35725994705;8931498676;1246837215204;3.74;17.11.2015;SNGS;Сургнфгз
ROSN;0.12;1.0000000;10598177817;1271781338;2877405277316;4.14;17.11.2015;ROSN;Роснефть
VTBR;0.39;1.0000000;12960541337338;5054611121562;984353114571;4.61;17.11.2015;VTBR;ВТБ ао
GMKN;0.3;1.0000000;158245476;47473643;1481810637264;5.33;17.11.2015;GMKN;ГМКНорНик
NVTK;0.27;1.0000000;3036306000;819802620;1896173097000;6.14;17.11.2015;NVTK;Новатэк ао
MGNT;0.54;1.0000000;94561355;51063132;1077053833450;6.98;17.11.2015;MGNT;Магнит ао
LKOH;0.46;1.0000000;850563255;391259097;2147246937248;11.85;17.11.2015;LKOH;ЛУКОЙЛ
SBER;0.48;1.0000000;21586948000;10361735040;2212662170000;12.74;17.11.2015;SBER;Сбербанк
GAZP;0.46;0.7513160;23673512900;8181692948;3379393966475;14.01;17.11.2015;GAZP;ГАЗПРОМ ао
