TICKER;FREE_FLOAT;W_FACTOR;ISSUE_SIZE;QO;CAP_TOTAL;WEIGHT;TRADEDATE;SECS;SECSNAME
MGNT;1;1.0000000;94561355;94561355;1078283131065;8.88;17.11.2015;MGNT;Магнит ао
GMKN;1;1.0000000;158245476;158245476;1483551337500;9.03;17.11.2015;GMKN;ГМКНорНик
MAGN;1;1.0000000;11174330000;11174330000;232090834100;9.32;17.11.2015;MAGN;ММК
SNGS;1;1.0000000;35725994705;35725994705;1250409814675;9.56;17.11.2015;SNGS;Сургнфгз
GAZP;1;1.0000000;23673512900;23673512900;3381051112378;9.72;17.11.2015;GAZP;ГАЗПРОМ ао
SNGSP;1;1.0000000;7701998235;7701998235;339658122164;10.26;17.11.2015;SNGSP;Сургнфгз-п
VTBR;1;1.0000000;12960541337338;12960541337338;987982066145;10.26;17.11.2015;VTBR;ВТБ ао
LKOH;1;1.0000000;850563255;850563255;2148012444177;10.29;17.11.2015;LKOH;ЛУКОЙЛ
ROSN;1;1.0000000;10598177817;10598177817;2888533364023;10.29;17.11.2015;ROSN;Роснефть
SBER;1;1.0000000;21586948000;21586948000;2215036734280;12.39;17.11.2015;SBER;Сбербанк
